,CourseNumber,CourseTitle,Description,CourseDepartment
0,AERO 101,Heritage and Values of the United States Air Force,"Part one of a two-part course that examines the opportunities of an Air Force officer, as well as the structure and function of the Air Force.",AERO
1,AERO 102,Heritage and Values of the United States Air Force,"Part two of a two-part course that examines the opportunities of an Air Force officer, as well as the structure and function of the Air Force.",AERO
2,AERO 190,Seminar,Seminar in topics related to the United States Air Force.,AERO
3,AERO 196,Independent Study,Readings and research of topics regarding the United States Air Force.,AERO
4,AERO 201,Team and Air Force Leadership Fundamentals,This course lays the foundation for leading effective teams and developing leadership skills.,AERO
5,AERO 202,Team and Air Force Leadership Fundamentals II,This course continues to lay the foundation for leading effective teams and developing leadership skills.,AERO
6,AERO 213,Air Power and Modern Warfare,Examines air power theory and practice from 1914 to the present. Focuses on the application of air power as an instrument of war and the effectiveness of that application.,AERO
7,AERO 301,Leading People and Effective Communication I, Part one of a two-part course concerning contemporary leadership and management of the Air Force Officer.,AERO
8,AERO 302,Leading People and Effective Communication II, Part two of a two-part course concerning contemporary leadership and management of the Air Force Officer.,AERO
9,AERO 393,Air and Space Expeditionary Training,"Provides leadership training in a military environment. Professional development is achieved through academics, physical fitness, marksmanship, and leadership exercises. Course reviews leadership lessons in a simulated expeditionary deployment to a combat zone. Restricted to ROTC cadets from all services.",AERO
10,AERO 401,National Security Affairs and Preparation for Active Duty, Part one of a two-part class that examines the basic elements of national security policy and process issues relevant to new Air Force officers.,AERO
11,AERO 402,National Security Affairs and Preparation for Active Duty, Part two of a two-part class that examines the basic elements of national security policy and process issues relevant to new Air Force officers.,AERO
12,AERO 500,Leadership Laboratory,"Required for all AFROTC cadets. The purpose of the LLAB program is to augment  the AFROTC academic curriculum by providing prospective Air Force officers the opportunities and feedback needed to develop the leadership, managerial, and supervisory skills required of successful Air Force officers. The laboratory also offers insight into career opportunities in the USAF, life, and work of the USAF junior officer, and military ceremonies.",AERO
13,AAAD 50,First-Year Seminar: Defining Blackness,"Blackness and whiteness as racial categories have existed in the United States from the earliest colonial times, but their meanings have shifted and continue to shift. Over the semester we will attempt to define and redefine blackness in the United States.",AAAD
14,AAAD 51,First-Year Seminar: Masquerades of Blackness,This course is designed to investigate how race has been represented in cinema historically with a emphasis on representations of race when blackness is masqueraded.,AAAD
15,AAAD 53,First-Year Seminar: Experimentalism in Global Black Music and Performance Arts,"This seminar focuses on artists from around the world who have taken an experimental approach to music-making and performance, inspired by black politics, culture, and history. Considers the special challenges blacks have faced in the field of ""modernism."" Students may opt to do creative artistic projects in lieu of a final research paper.",AAAD
16,AAAD 54,"First-Year Seminar: African Migrations, Boundaries, Displacements, and Belonging",This discussion-oriented seminar will use the works of African authors and filmmakers to explore how this dimension of the African experience has in part shaped the everyday lives of the peoples of the African continent.,AAAD
