CourseNumber,CourseTitle,CourseDescription,CourseDepartment
AERO 101,Heritage and Values of the United States Air Force,"Part one of a two-part course that examines the opportunities of an Air Force officer, as well as the structure and function of the Air Force.",AEROSPACE STUDIES
AERO 102,Heritage and Values of the United States Air Force,"Part two of a two-part course that examines the opportunities of an Air Force officer, as well as the structure and function of the Air Force.",AEROSPACE STUDIES
AERO 190,Seminar,Seminar in topics related to the United States Air Force.,AEROSPACE STUDIES
AERO 196,Independent Study,Readings and research of topics regarding the United States Air Force.,AEROSPACE STUDIES
AERO 201,Team and Air Force Leadership Fundamentals,This course lays the foundation for leading effective teams and developing leadership skills.,AEROSPACE STUDIES
AERO 202,Team and Air Force Leadership Fundamentals II,This course continues to lay the foundation for leading effective teams and developing leadership skills.,AEROSPACE STUDIES
AERO 213,Air Power and Modern Warfare,Examines air power theory and practice from 1914 to the present. Focuses on the application of air power as an instrument of war and the effectiveness of that application.,AEROSPACE STUDIES
AERO 301,Leading People and Effective Communication I, Part one of a two-part course concerning contemporary leadership and management of the Air Force Officer.,AEROSPACE STUDIES
AERO 302,Leading People and Effective Communication II, Part two of a two-part course concerning contemporary leadership and management of the Air Force Officer.,AEROSPACE STUDIES
AERO 393,Air and Space Expeditionary Training,"Provides leadership training in a military environment. Professional development is achieved through academics, physical fitness, marksmanship, and leadership exercises. Course reviews leadership lessons in a simulated expeditionary deployment to a combat zone. Restricted to ROTC cadets from all services.",AEROSPACE STUDIES
AERO 401,National Security Affairs and Preparation for Active Duty, Part one of a two-part class that examines the basic elements of national security policy and process issues relevant to new Air Force officers.,AEROSPACE STUDIES
AERO 402,National Security Affairs and Preparation for Active Duty, Part two of a two-part class that examines the basic elements of national security policy and process issues relevant to new Air Force officers.,AEROSPACE STUDIES
AERO 500,Leadership Laboratory,"Required for all AFROTC cadets. The purpose of the LLAB program is to augment  the AFROTC academic curriculum by providing prospective Air Force officers the opportunities and feedback needed to develop the leadership, managerial, and supervisory skills required of successful Air Force officers. The laboratory also offers insight into career opportunities in the USAF, life, and work of the USAF junior officer, and military ceremonies.",AEROSPACE STUDIES
AAAD 50,First-Year Seminar: Defining Blackness,"Blackness and whiteness as racial categories have existed in the United States from the earliest colonial times, but their meanings have shifted and continue to shift. Over the semester we will attempt to define and redefine blackness in the United States.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 51,First-Year Seminar: Masquerades of Blackness,This course is designed to investigate how race has been represented in cinema historically with a emphasis on representations of race when blackness is masqueraded.,"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 53,First-Year Seminar: Experimentalism in Global Black Music and Performance Arts,"This seminar focuses on artists from around the world who have taken an experimental approach to music-making and performance, inspired by black politics, culture, and history. Considers the special challenges blacks have faced in the field of ""modernism."" Students may opt to do creative artistic projects in lieu of a final research paper.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 54,"First-Year Seminar: African Migrations, Boundaries, Displacements, and Belonging",This discussion-oriented seminar will use the works of African authors and filmmakers to explore how this dimension of the African experience has in part shaped the everyday lives of the peoples of the African continent.,"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 89,First Year Seminar:  Special Topics,Special Topics Course: content will vary each semester.,"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 101,Introduction to Africa,"Introduction to the study of the African continent, its peoples, history, and contemporary problems of development in a globalized world, including a survey of the African past, society and culture, and contemporary political, economic, and social issues.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 102,Introduction to Media in Africa,"This course explores the precolonial, colonial, and the contempory media in Africa. It focuses on the different types of media, its impact on socioeconomic and political development, and the growth and development of internet in the region. It introduces students to the inventors, copyright regulations, African governments' media regulation statutes, and careers in the media industry in the continent.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 130,Introduction to African American and Diaspora Studies,"The course tracks the contours of history, life, societies, and cultures of the Atlantic African diaspora from their origins through Emancipation in the United States, the Caribbean, and South America.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 159,The History of the Black Church and Social Change,"A survey of the historical development of the black church in America, beginning during the antebellum period and continuing to the present day.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 200,Gender and Sexuality in Africa,Introduction to the study of gender and sexuality in African societies. Theoretical questions relating to the cross-cultural study of gender will be a primary focus. Topics include historical perspectives on the study of kinship and family in Africa and the impact of colonialism and other forms of social change.,"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 201,Introduction to African Literature,"An introduction to African literature, with an emphasis on works by writers from the late colonial period to the present, and including a survey of different genres.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 202,African Film and Performance,"This course studies African film and performance as two distinct, but interconnected genres of artistic expression used for negotiating a postcolonial African agency.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 210,African Belief Systems: Religion and Philosophy in Sub-Saharan Africa,"Topics such as the impact of colonialism and missionization on African societies, the changing practice of Islam in Africa, and the intersection of religious and political unrest in postcolonial societies are addressed.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 211,African Art and Culture,"Introduction to the plastic arts of sub-Saharan Africa through study of their relationship to the human values, institutions, and modes of aesthetic expression of select traditional and modern African societies.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 212,Africa in the Global System,"This course provides a critical examination of the historical and theoretical bases for understanding the challenges and opportunities facing African states and societies in the current global system, which is dominated by neoliberal globalization.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 214,Africa through the Ethnographic Lens,"This course examines the ways by which anthropologists have used ethnographic texts to describe and frame African societies. Among the topics explored through a close textual reading of both classical and contemporary ethnographic texts are systems of thought, politics, economics, social organization and the politics of representation.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 231,African American History since 1865,Special emphasis on postemancipation developments.,"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 232,Black Women in America,An examination of the individual and collective experiences of black women in America from slavery to the present and the evolution of feminist consciousness.,"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 237,African American Art Survey,An introduction to African American art and artists and their social contexts from early slavery.,"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 238,African American Literature Survey,"This course is an introductory and chronological study of the African American literary canon. It examines various African American literary genres, including slave narratives, poetry, and the novel.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 239,"Disaster, Recovery, Resistance in Southern Black History","Since the 1920s environmental, health, industrial and other disasters have shaped southern African American culture, communities, and politics. The mass dislocation and despair brought by disasters and the manners in which African Americans resisted and struggled to overcome them have significantly changed the country's geographic, cultural, and political landscape. This course examines such epic disasters as floods, hurricanes, disease, and work-related tragedies and their long-term consequences and meanings.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 240,African American Politics,"A survey of African American political development from emancipation to the present. The course examines the dynamics of minority group politics with African Americans as the primary unit of analysis. Students consider African American politics in domestic and global contexts and issues of local, regional, national, and international relevance.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 250,The African American in Motion Pictures: 1900 to the Present,"This course will analyze the role of the African American in motion pictures, explore the development of stereotypical portrayals, and investigate the efforts of African American actors and actresses to overcome these portrayals.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 252,African Americans in the West,"African Americans in the West is a survey course that examines the origins, migration, and development of African descended peoples in the United States west of the Mississippi River.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 254,African Americans in North Carolina,This course is an overview of the black experience in North Carolina with special emphasis on Chapel Hill and Wilmington.,"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 257,Black Nationalism in the United States,"This course traces the evolution of black nationalism, both as an idea and a movement, from the era of the American Revolution to its current Afrocentric expressions.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 258,The Civil Rights Movement,An examination of the struggle by black Americans for social justice since World War II and of the systemic responses.,"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 259,Black Influences on Popular Culture,"This course examines the influence of African American expressive culture, particularly popular music, on American mainstream culture.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 260,Blacks in Latin America,The majority of people of African descent in this hemisphere live in Latin America. This course will explore various aspects of the black experience in Latin America.,"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 261,"Afro-Cuban Dance: History, Theory, and Practice","Course interrogates concepts such as religion, folklore, nation, blackness, gender, history, and dance. Concepts illustrated through readings, movement practice (dance classes), and spectatorship.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 278,Black Caribbeans in the United States,"This course will look at the experiences of black Caribbean immigrants in the United States and the activities in which they participate, as well as their shifting senses of their identities.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
