CourseNumber,CourseTitle,CourseDescription,CourseDepartment
ACCT 2101 , Principles of Accounting I," Principles of Accounting I3 Credit Hours  Description Principles of Accounting I is an introduction to the principles of financial accounting. The course focuses on analyzing business transactions to chart their effects on the results of operations, the cash flows, and the financial position of businesses organized for profit. Emphasis is on using financial information from a decision-making perspective to optimize the outcomes of business decisions. Topics include recording, reporting, and analyzing assets, liabilities, stockholders’ equity, revenues, and expenses.          ",Accounting
ACCT 2102 , Principles of Accounting II," Principles of Accounting II3 Credit Hours Prerequisites: ACCT 2101 . Description Principles of Accounting II is an introduction to the principles of managerial accounting. Emphasis is given to the development and use of accounting information to support managerial decision-making in manufacturing, service, and merchandising operations. Topics include managerial concepts and systems, analyses for decision making, and planning and control.          ",Accounting
ACCT 4101 , Essentials of Financial Reporting I," Essentials of Financial Reporting I3 Credit Hours Prerequisites: ACCT 2101  and ACCT 2102  with a grade of B or higher.Requirements: Must meet RCB upper division course requirements and 45 semester hours.    Description In this course students will learn how to value and record operating activities in the accounting cycle, analyze data to provide insights about business operations and performance, and apply critical thinking to support evidence-based conclusions including ethical dimensions.          ",Accounting
ACCT 4102 , Essentials of Financial Reporting II," Essentials of Financial Reporting II3 Credit Hours Prerequisites: ACCT 2101  and ACCT 2102  with a grade of B or higher. ACCT 4101  and BCOM 3950  with a grade of C- or higher.Requirements: Must meet RCB upper division course requirements and 45 semester hours.    Description In this course students will learn how to identify, analyze and record the assets, liabilities and equity of an enterprise, account for and report complex business transactions and disclosures, apply financial accounting theory, professional standards and judgment to real world business transactions, and analyze firm performance using financial accounting information.          ",Accounting
ACCT 4111 , Intermediate Accounting I," Intermediate Accounting I3 Credit Hours Prerequisites: ACCT 2101  and ACCT 2102  with a grade of B or higher.Requirements: Must meet RCB upper division course requirements and 45 semester hours.    Description Students will learn the environmental and theoretical structure of financial accounting, the accounting process, and preparation of an income statement, balance sheet and statement of cash flows. Students will also learn to measure income, do profitability analysis, apply time value of money concepts to financial accounting measurements, account for cash, receivables and inventories, and learn to research financial accounting issues using the FASB Codification Database.          ",Accounting
ACCT 4112 , Intermediate Accounting II," Intermediate Accounting II3 Credit Hours Prerequisites: ACCT 2101 , ACCT 2102  and BCOM 3950  with grade of B or higher.Requirements: Must meet RCB upper division course requirements and 45 semester hours.    Description Students will learn how to account for the economic resources and liabilities of an enterprise. Topics studied will include operational assets, investments, current liabilities, bonds, and leases. Students will also learn rudimentary financial statement analysis pertaining to these topics, analyze real world cases and learn to research financial accounting issues using the FASB Codification Database.          ",Accounting
ACCT 4113 , Intermediate Accounting III," Intermediate Accounting III3 Credit Hours Prerequisites: ACCT 2101 , and ACCT 2102  with grade of B or higher and ACCT 4111 , and MGT 3100  with grade of C- or higher. Description Students will study accounting for income taxes, pensions, shareholders equity, share-based compensation, accounting changes, error corrections, and derivatives. Students will also learn the computation of earnings per share and the preparation of a complex statement of cash flows. Students will also learn rudimentary financial statement analysis, analyze real world cases pertaining to these topics and learn to research financial accounting issues using the FASB Codification Database.          ",Accounting
ACCT 4210 , Cost / Managerial Accounting," Cost / Managerial Accounting3 Credit Hours Prerequisites: Grade of B or higher both in ACCT 2101  and ACCT 2102 .Requirements: Must meet RCB upper division course requirements and 45 semester hours.    Description Students study the information needed by managers to plan, monitor, and improve their critical processes, products, and services. This course stresses the application of information technologies to tasks such as measuring costs to produce, market, and deliver products and services; planning via flexible budgets and cost-volume-profit analysis; implementing activity-based management systems; and measuring and performance. Students communicate implications of their analyses to stakeholders using database, spreadsheet, and word processing skills.          ",Accounting
ACCT 4310 , Accounting Information Systems," Accounting Information Systems3 Credit Hours Prerequisites: CIS 2010 , MGT 3100 , and ACCT 4210  with a grade of C- or higher.Requirements: Must meet RCB upper-division course requirements and 45 semester hours.    Description This course develops skills required by accountants as users, managers, designers, and evaluators of information systems in business environments. The skills include choosing, extracting, and analyzing information to solve business problems, modeling technology-enabled business processes, and evaluating internal control in business environments.          ",Accounting
ACCT 4389 , Directed Readings in Accounting," Directed Readings in Accounting1 to 3 Credit Hours Prerequisites: ACCT 2101  and ACCT 2102  with a grade of B or higher, and consent of instructor.Requirements: Must meet RCB upper division course requirements and 45 semester hours.    Description   This course may include a Signature Experience component.        ",Accounting
ACCT 4391 , Field Study in Accounting," Field Study in Accounting3 Credit Hours Prerequisites: ACCT 4112  with a 3.0 GPA or higher and enrolled as an undergraduate accounting major and consent of instructor.Requirements: Must meet RCB upper division course requirements and 45 semester hours.    Description The field study is a supervised, employer-site learning experience. In this experience, students have the opportunity to apply accounting skills in a professional setting. Students must consult with the instructor or with the School of Accountancy’s Undergraduate Program Coordinator before registering to determine whether their employment internship experiences will qualify for credit.  This course may include a Signature Experience component.     (May be repeated once.)   ",Accounting
ACCT 4411 , Financial Reporting Issues in the European Union," Financial Reporting Issues in the European Union3 Credit Hours Prerequisites: ACCT 2101  and ACCT 2102 .Requirements: Must meet RCB upper division course requirements and 45 semester hours.    Description This course provides an opportunity to examine the business climate in the European Union with a special emphasis on the Netherlands. The course emphasizes the financial reporting aspects of a business. Students will gain insight into the financial reporting of small and medium sized businesses in the Netherlands as well as European multinationals and U.S. multinationals operating in the Netherlands. Students will learn the benefits of being in the European Union and how it facilitates the movement of money, people, goods and providing services across countries in the European Union.          ",Accounting
ACCT 4510 , Introduction to Federal Income Taxes," Introduction to Federal Income Taxes3 Credit Hours Prerequisites: ACCT 4101  with a grade of C- or higher.Requirements: Must meet RCB upper division course requirements and 45 semester hours.    Description This course introduces students to the federal tax concepts applicable to sole proprietorships, partnerships, corporations, estates, and trusts. Emphasis is placed on differences between tax and financial accounting concepts. In addition, students are exposed to accounting periods and methods, deferred compensation, tax planning, ethical practices, and tax research.          ",Accounting
ACCT 4610 , Introduction to Assurance Services," Introduction to Assurance Services3 Credit Hours Prerequisites: ACCT 4102  and ACCT 4310  with a grade of C- or higher.Requirements: Must meet RCB upper division course requirements and 45 semester hours.    Description This course develops students’ knowledge of auditing, attest, and assurance services in traditional and e-business environments. Topics include the role of such services in society, evidence relevance and reliability, materiality, risk and control, information integrity, and methods of verification.          ",Accounting
