CourseNumber,CourseTitle,CourseDescription,CourseDepartment,University
ACCT 8005,Current Issues in Accounting,"Current Issues in Accounting1 to 3 Credit Hours  Description This course will cover current issues in accounting. Issues will be drawn from a wide range of current issues that do not necessarily require or allow an entire semester of study and will pertain to assorted accounting areas, e.g., financial reporting and analysis, intenal auditing, forensic accounting, government and not-for-profit accounting, assurance services, cost measurement and control, taxation, performance measurement and control, and governance.     May be repeated for credit.",Accounting,GSU
ACCT 8010,Financial Accounting 1,"Financial Accounting 13 Credit Hours Prerequisites: Graduate or Undergraduate degree in bus other than AC. ACCT 2101 or MBA 8025  and, ACCT 2102 or MBA 8115 . Description Students will learn the financial reporting environment, the conceptual framework, the financial accounting process, preparation of financial statements, income measurement, and asset valuation.",Accounting,GSU
ACCT 8020,Financial Accounting II,"Financial Accounting II3 Credit Hours Prerequisites: ACCT 8010 . Description Students will learn the valuation of liabilities and investments, reporting of stockholders? equity, accounting for income taxes, postemployment benefits, leases, changes and errors, and preparation of statement of cash flows with complex transactions.",Accounting,GSU
ACCT 8030,Managerial and Accounting Information Systems,"Managerial and Accounting Information Systems3 Credit Hours Prerequisites: Graduate or Undergraduate degree in bus other than AC. ACCT 2101 or MBA 8025 , and ACCT 2102 or MBA 8115 . Description This course examines a wide range of fundamental managerial techniques used by companies for tracking and reporting internal operations. In particular, it focuses on techniques for costing and evaluating products, services, programs, projects, departments and other operational units. The primary emphasis is on developing the needed understanding, insights and skills for capturing, analyzing and applying internal accounting data in order to make optimum managerial-level, cost-related decisions and appropriate managerial performance evaluations. In addition, students are expected to develop analytical skills necessary for evaluating alternative designs of control systems.",Accounting,GSU
ACCT 8040,Topics in Federal Taxation,"Topics in Federal Taxation3 Credit Hours Prerequisites: ACCT 8020 , with grade of C- or higher. Description This course introduces students to the federal tax concepts applicable to individuals, sole proprietorships, partnerships, corporations, estates, and trusts. In particular, it focuses on developing a professional level of problem-solving skills and critical thinking as well as oral and written communications. In addition, students are exposed to accounting periods and methods, deferred compensation, tax planning, ethical practices, and tax research. Emphasis is placed on differences between tax and financial accounting concepts.",Accounting,GSU
ACCT 8050,Assurance and Information Systems Control,"Assurance and Information Systems Control3 Credit Hours Prerequisites: ACCT 8020 , with a minimum grade of C-. Description This course develops students knowledge of Accounting Information Systems (AIS) and auditing the AIS focusing on both the processes of the AIS and the evaluation of accounting information. Topics include choosing , extracting and analyzing information to solve business problems, the ethical responsibilities the accountants, evidence accumulation and evaluation, materiality, risk assessment and control of the processes, and legal responsibilities. The course emphasizes the utilization of technology tools in business environments.",Accounting,GSU
ACCT 8060,Financial Accounting in Governmental and Nonprofit Organizations,"Financial Accounting in Governmental and Nonprofit Organizations3 Credit Hours Prerequisites: ACCT 4113, with a minimum grade of C-. Description This course provides an indepth study of financial reporting principles and theory used by governmental and nonprofit organizations. Analysis and interpretation of these organizations? financial statements is an integral part of the course.",Accounting,GSU
ACCT 8090,International Accounting Practices,"International Accounting Practices3 Credit Hours Prerequisites: ACCT 4113, with a minimum grade of C-. Description This course provides a detailed examination of Internationl Financial Reporting Standards (IFRS) and their application. It identifies differences between IFRS and Generally Accepted Accounting Principles and analyzes the implicaions of those differences. It also offers a framework for identifying and analyzing national differences in the applications of IFRS.",Accounting,GSU
ACCT 8120,Advanced Federal Taxation,"Advanced Federal Taxation3 Credit Hours Prerequisites: ACCT 4510 or ACCT 8040 , with a Requirement minimum grade of C-. Description Students may not receive credit for both TX 8020  and ACCT 8120. This course provides an in-depth study of the fundamentals of federal taxation of corporations and partnerships.",Accounting,GSU
ACCT 8130,Advanced Accounting Topics,"Advanced Accounting Topics3 Credit Hours Prerequisites: ACCT 4113 or ACCT 8020 , with a minimum grade of C-. Description This course provides a study of accounting topics related to business mergers and acquisitions, international accounting and foreign currency issues, and other current topics of financial reporting.",Accounting,GSU
