Unnamed: 0,CourseNumber,CourseTitle,CourseDescription,CourseDepartment,University
0,ACCT 5220 , Income Tax ,An introduction to the Federal income tax system with emphasis on concepts and procedures applicable to all types of entities. ,Accounting,UNCC
1,ACCT 5311 , Intermediate Financial Reporting I ,Analysis of the financial reporting requirements of corporations with emphasis on the conceptual framework and accounting for assets.,Accounting,UNCC
2,ACCT 5312 , Intermediate Financial Reporting II ,"A continuation of ACCT 5311  with emphasis on financial reporting for liabilities and stockholder’s equity.  Also, a number of special topics, including the accounting for investments and the statement of cash flows.",Accounting,UNCC
3,ACCT 6110 , Tax Research and Planning ,"Tax research techniques applicable to federal tax law affecting individuals, corporations and partnerships, including use of traditional and computerized tax services to solve tax problems. Emphasis on tax planning principles and related tax practice matters, including handling tax compliance issues and dealing with the Internal Revenue Service. ",Accounting,UNCC
4,ACCT 6120 , Taxation of Corporations and Shareholders ,"Examines the federal and state tax law applicable to corporations and their shareholders. The course covers tax compliance matters, strategies for minimizing tax liabilities and strategies for handling tax controversies. ",Accounting,UNCC
5,ACCT 6130 , Taxation of Pass-Through Entities ,"Tax law applicable to partnerships, Limited Liability Companies and S corporations, including tax compliance matters strategies for minimizing tax liabilities and strategies for handling tax controversies. ",Accounting,UNCC
6,ACCT 6140 ," Taxation of Estates, Gifts, and Trusts ","Wealth transfer taxes and taxation of estates and trusts, including integration of these taxes and tax planning opportunities for minimizing tax liabilities. ",Accounting,UNCC
7,ACCT 6150 , Tax Strategy and Policy ,"Tax strategies in all phases of business operations, including creation of the business, choice of the type of business entity, financing, operations, distributions to owners, expansion, reorganization and liquidation with emphasis on minimizing taxes and avoiding` tax traps. Analysis of business planning cases and completion of a comprehensive project with the results presented in both an oral and written report. ",Accounting,UNCC
8,ACCT 6160 , Advanced Individual Taxation ,"Focuses on topics related to the taxation of individuals to enable the student to better advise taxpayers on these matters, identify problem areas and assist in tax planning matters to minimize the amount of tax due. Topics include: passive loss limitation rules, interest categorization and limitations, individual alternative minimum tax, individual net operating loss rules and rules concerning divorced taxpayers. ",Accounting,UNCC
9,ACCT 6199 , Topics in Taxation ,Topics in the area of taxation that go beyond the coverage in other existing courses by either addressing new tax issues or by delving more deeply into a tax topic.  ,Accounting,UNCC
10,ACCT 6210 , Advanced Accounting Information Systems ,"Documentation and evaluation of current accounting information systems, evaluation of potential new systems, to extract data from existing systems from analysis, and examination of emerging technologies which have potential uses in accounting information systems. ",Accounting,UNCC
11,ACCT 6220 , Financial Statement Auditing ,Analysis of the accounting control systems and the independent auditor’s examination of the system and other evidence as a basis for expressing an opinion on financial statements. ,Accounting,UNCC
12,ACCT 6230 , Advanced Managerial Accounting ,"Management’s use of and need for accounting information, which is necessary for effective managerial decision-making. Emphasis is on understanding managerial accounting information, specifically its purpose, its effect on managerial behavior, and its use in formulating and implementing strategy. Topics include: relevant information for activity and process decisions, and issues involved with management control system’s design and operation. ",Accounting,UNCC
13,ACCT 6240 ," Business Environment, Governance, and Accountability ","Examines a wide variety of topics related to the general business environment and business concepts.  Topics include:  corporate governance and control, information technology, managerial and cost accounting, economic concepts and analysis, strategic planning, financial management, and operations management. ",Accounting,UNCC
14,ACCT 6260 , Advanced Financial Accounting I ,"Advanced concepts and practices in financial reporting with special emphasis on the use of accounting information in capital markets and accounting theory and research. In addition, the course will examine current topics and emerging issues in financial reporting. ",Accounting,UNCC
15,ACCT 6270 ," Accounting for Business Combinations, Governmental, and Not-for-Profit Entities ","Advanced concepts and practices in financial reporting with special emphasis on business combinations, consolidated financial statements and financial reporting issues and practices for governmental and other not-for-profit entities. In addition, the course examines current topics and emerging issues in financial reporting. ",Accounting,UNCC
16,ACCT 6280 , International Financial Reporting ,Examination of accounting standards under International Financial Reporting Standards (IFRS). ,Accounting,UNCC
